Group,Lp
HC,3.52356020942408
HC,3.4704301075268797
HC,3.38905775075988
CU,1.94444444444444
CU,1.8587570621468898
CU,2.13989637305699
CU,2.5826086956521697
CU,1.8333333333333302
CU,2.64655172413793
CU,2.3743842364532
CU,2.62389380530973
CU,2.60079051383399
CU,2.7545454545454504
CU,2.31609195402299
HC,3.2244224422442205
HC,3.321875
CU,2.6255144032921804
CU,1.38461538461538
CU,1.7707006369426799
CU,2.05228758169935
CU,1.58571428571429
HC,3.49086161879896
HC,3.3760445682451294
CU,2.6144578313252995
HC,3.4166666666666696
HC,3.37313432835821
HC,3.4587912087912103
CU,1.81761006289308
CU,2.62948207171315
HC,3.44318181818182
HC,3.7508196721311498
CU,2.59751037344398
HC,2.05607476635514
CU,2.64423076923077
HC,3.5210084033613396
CU,2.63063063063063
CU,2.1724137931034497
CU,2.5932203389830497
CU,2.71428571428571
HC,3.48148148148148
HC,3.1928571428571404
HC,3.4571428571428595
CU,2.14285714285714
CU,2.6175298804780898
HC,3.46791443850267
HC,3.5639686684073104
CU,2.6695278969957097
CU,2.6219512195122
CU,2.08270676691729
CU,2.60079051383399
CU,1.8764705882352901
HC,3.4501347708894903
CU,1.9447513812154698
HC,3.453125
CU,2.22522522522523
CU,1.78709677419355
HC,3.0631229235880397
CU,2.6567796610169503
CU,2.6363636363636402
CU,2.6981981981982006
HC,3.45355191256831
CU,1.87570621468927
HC,3.4581151832460697
CU,2.60474308300395
HC,3.5
CU,2.74137931034483
HC,3.27439024390244
HC,2.14838709677419
HC,2.2649572649572702
CU,1.44444444444444
CU,1.4262295081967198
HC,3.1481481481481497
HC,2.7391304347826098
HC,2.0258064516128997
HC,2.30708661417323
HC,3.4415584415584397
HC,4.05205479452055
CU,2.1948717948718
CU,2.79555555555556
HC,3.1254480286738398
HC,3.4958677685950397
CU,2.61354581673307
HC,3.54617414248021
HC,3.17704918032787
HC,3.41501976284585
CU,2.59670781893004
HC,3.37016574585635
CU,2.5614035087719302
HC,2.31111111111111
CU,2.37244897959184
HC,3.5135135135135096
HC,3.00754716981132
CU,2.61133603238866
CU,2.63157894736842
HC,2.0188679245283003
HC,2.5208333333333304
CU,2.68240343347639
CU,2.86784140969163
CU,2.55405405405405
CU,2.70089285714286
CU,2.61788617886179
CU,1.7826086956521698
CU,2.7123893805309702
CU,2.1354166666666696
CU,1.9051094890511
CU,2.59030837004405
CU,1.26
