Group,density
HC,0.002
HC,0.002
HC,0.002
CU,0.0
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
HC,0.002
HC,0.002
CU,0.002
CU,0.0
CU,0.002
CU,0.002
CU,0.001
HC,0.002
HC,0.002
CU,0.002
HC,0.002
HC,0.002
HC,0.002
CU,0.002
CU,0.002
HC,0.002
HC,0.002
CU,0.002
HC,0.001
CU,0.002
HC,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
HC,0.002
HC,0.002
HC,0.002
CU,0.002
CU,0.002
HC,0.002
HC,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
HC,0.002
CU,0.002
HC,0.002
CU,0.002
CU,0.002
HC,0.002
CU,0.002
CU,0.002
CU,0.002
HC,0.002
CU,0.002
HC,0.002
CU,0.002
HC,0.002
CU,0.002
HC,0.002
HC,0.002
HC,0.001
CU,0.001
CU,0.001
HC,0.002
HC,0.002
HC,0.002
HC,0.001
HC,0.002
HC,0.002
CU,0.002
CU,0.002
HC,0.002
HC,0.002
CU,0.002
HC,0.002
HC,0.002
HC,0.001
CU,0.002
HC,0.001
CU,0.002
HC,0.002
CU,0.002
HC,0.002
HC,0.002
CU,0.002
CU,0.002
HC,0.001
HC,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.002
CU,0.001
