Group,diameter.wt
HC,51.0160994487317
HC,34.8593409153495
HC,67.0926909067293
CU,13.2521585725685
CU,20.3625852431238
CU,29.7574091015341
CU,92.8407102858547
CU,16.0935068895686
CU,63.037808127466604
CU,33.7094220573843
CU,30.083979638110105
CU,19.8499483572388
CU,63.9992879329459
CU,39.1079283459402
HC,85.9600186349608
HC,49.7624768212117
CU,66.8183270767412
CU,15.7501704661045
CU,53.580501622367
CU,144.49357116076
CU,239.458483865042
HC,40.152156007624
HC,129.207353542973
CU,329.682031741508
HC,44.350008230468596
HC,38.596635210281896
HC,158.401197431764
CU,39.2214622519269
CU,36.1997354022779
HC,68.3579000184505
HC,290.054890211437
CU,190.18353622966302
HC,47.300544806274395
CU,52.791768925161705
HC,59.4189678271529
CU,68.6765414070562
CU,168.075596583515
CU,5258.3550017252
CU,445.94512895671204
HC,107.27680181903
HC,50.5573695873265
HC,41.8037784413905
CU,160.960648918358
CU,351.09107647147204
HC,78.40720236606391
HC,40.67369550135479
CU,26.661700438905502
CU,77.74432000173009
CU,182.885633833344
CU,18.2798336042895
CU,20.978185597785803
HC,20.970758449920602
CU,90.37725145879209
HC,43.25814005286939
CU,43.516375210701
CU,15.4074330269423
HC,158.73816413488998
CU,37.2578477673763
CU,22.5714454499345
CU,34.841717465487
HC,31.396761613013002
CU,634.6804276153209
HC,92.98706567805951
CU,17.9510523818835
HC,34.002525340393
CU,2435.79295295225
HC,30.5236863863832
HC,42.7887309739025
HC,55.7987745873456
CU,41.977807394301706
CU,36.98019048237679
HC,30.560212159234098
HC,778.709774596488
HC,262.65172186646
HC,21.143449090768
HC,46.3696574085182
HC,208.49810033680697
CU,103.07944718110001
CU,216.92466884887
HC,46.332478694933
HC,26.9908489340696
CU,30.6191358309934
HC,54.631933029344395
HC,259.401809112501
HC,98.4115454778079
CU,41.9319391820592
HC,236.05326701776198
CU,62.0596287222653
HC,195.765582221934
CU,36.444399433467105
HC,272.98311396219503
HC,52.169607602328995
CU,384.760245087656
CU,111.009484916727
HC,31.1886631905199
HC,596.059073992051
CU,102.539384874253
CU,67.6629189679313
CU,62.854824181485206
CU,50.2936576691255
CU,30.5923831438941
CU,486.476332351044
CU,230.158600955988
CU,292.226647094079
CU,174.88391669010102
CU,110.02831431929701
CU,60.4896803140211
