Group,mod.wt
HC,0.8965951994413571
HC,0.8248401668320421
HC,0.889669411104387
CU,0.5568515446901401
CU,0.841885505139918
CU,0.910228282295337
CU,0.901707317162645
CU,0.8663354131498628
CU,0.871539748418362
CU,0.8875165847269281
CU,0.8264279356057621
CU,0.8887306228075029
CU,0.874494479311907
CU,0.867020038992963
HC,0.8896211441461029
HC,0.8807866534927641
CU,0.8737951195159429
CU,0.5164422772412189
CU,0.9189227005136881
CU,0.8989019536310809
CU,0.7881398297890191
HC,0.8776400340810842
HC,0.867148218993845
CU,0.8641510907114058
HC,0.887593055393253
HC,0.8926086015500191
HC,0.887517832031766
CU,0.884486179102097
CU,0.837950908933066
HC,0.8795829293499151
HC,0.8531702878125741
CU,0.848666271970595
HC,0.8981027533842979
CU,0.9054958261353759
HC,0.878411090376986
CU,0.866374092026086
CU,0.9158820184140078
CU,0.8789383113160649
CU,0.864564474783975
HC,0.868157798411994
HC,0.852583171096797
HC,0.9165578467080459
CU,0.917528356019465
CU,0.89828157558864
HC,0.890274773724529
HC,0.855844076944945
CU,0.899115791972566
CU,0.89005380544048
CU,0.9169303039509771
CU,0.883307470712227
CU,0.9079684778008691
HC,0.84832176161099
CU,0.8882331491284101
HC,0.8745553707754159
CU,0.891680580314112
CU,0.913137605592568
HC,0.880731624340082
CU,0.88734829274802
CU,0.892464778710713
CU,0.915855852339488
HC,0.881112968917373
CU,0.8885062116864051
HC,0.8715048139344079
CU,0.8783287253345899
HC,0.877809569661956
CU,0.890276193761909
HC,0.844034950724649
HC,0.8736815221341491
HC,0.8786007097015021
CU,0.9040913472740641
CU,0.8722129356010041
HC,0.860434649751741
HC,0.899972785164067
HC,0.8959694862611669
HC,0.8724478341073599
HC,0.86913392028125
HC,0.8764017842889559
CU,0.880863236855955
CU,0.91446006528724
HC,0.8876676886198158
HC,0.831914042989772
CU,0.875914293690384
HC,0.873842345098059
HC,0.8648907953427539
HC,0.749259376090384
CU,0.887132492745813
HC,0.81924410128654
CU,0.889626269885609
HC,0.8873794038829529
CU,0.8677914365241111
HC,0.9038219600085409
HC,0.8322789688247259
CU,0.8890078690948199
CU,0.829935952585317
HC,0.9146090511224989
HC,0.9245802544971891
CU,0.800611394340085
CU,0.9075689180200408
CU,0.8778804557370641
CU,0.8410884812458359
CU,0.8850062434013539
CU,0.911055698903055
CU,0.8420232145872628
CU,0.8537520457581791
CU,0.8918392708269341
CU,0.858369751953433
CU,0.9032902577057549
